entity_name,entity_type,sport,league,source_priority,source_url,search_query,notes
Gabby Williams,player,basketball,WNBA,bing,,Gabby Williams headshot official,bing image fallback
Jackie Young,player,basketball,WNBA,official,https://www.wnba.com/players,Jackie Young WNBA headshot,wnba players page
Jackie Young,player,basketball,WNBA,wikimedia,,Jackie Young athlete image,wikimedia
Jackie Young,player,basketball,WNBA,bing,,Jackie Young headshot official,bing image fallback
Natasha Howard,player,basketball,WNBA,official,https://www.wnba.com/players,Natasha Howard WNBA headshot,wnba players page
Natasha Howard,player,basketball,WNBA,wikimedia,,Natasha Howard athlete image,wikimedia
Natasha Howard,player,basketball,WNBA,bing,,Natasha Howard headshot official,bing image fallback
Olivia Miles,player,basketball,WNBA,official,https://www.wnba.com/players,Olivia Miles WNBA headshot,wnba players page
Olivia Miles,player,basketball,WNBA,wikimedia,,Olivia Miles athlete image,wikimedia
Olivia Miles,player,basketball,WNBA,bing,,Olivia Miles headshot official,bing image fallback
Natisha Hiedeman,player,basketball,WNBA,official,https://www.wnba.com/players,Natisha Hiedeman WNBA headshot,wnba players page
Natisha Hiedeman,player,basketball,WNBA,wikimedia,,Natisha Hiedeman athlete image,wikimedia
Natisha Hiedeman,player,basketball,WNBA,bing,,Natisha Hiedeman headshot official,bing image fallback
DeWanna Bonner,player,basketball,WNBA,official,https://www.wnba.com/players,DeWanna Bonner WNBA headshot,wnba players page
DeWanna Bonner,player,basketball,WNBA,wikimedia,,DeWanna Bonner athlete image,wikimedia
DeWanna Bonner,player,basketball,WNBA,bing,,DeWanna Bonner headshot official,bing image fallback
Natasha Mack,player,basketball,WNBA,official,https://www.wnba.com/players,Natasha Mack WNBA headshot,wnba players page
Natasha Mack,player,basketball,WNBA,wikimedia,,Natasha Mack athlete image,wikimedia
Natasha Mack,player,basketball,WNBA,bing,,Natasha Mack headshot official,bing image fallback
Monique Akoa Makani,player,basketball,WNBA,official,https://www.wnba.com/players,Monique Akoa Makani WNBA headshot,wnba players page
Monique Akoa Makani,player,basketball,WNBA,wikimedia,,Monique Akoa Makani athlete image,wikimedia
Monique Akoa Makani,player,basketball,WNBA,bing,,Monique Akoa Makani headshot official,bing image fallback
