athlete_id,display_name,team_id,required_image_type,reason,recommended_path
connecticut_sun_connecticut_sun,Connecticut Sun,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_connecticut_sun/cutout.png
connecticut_sun_diamond_miller_headshot,Diamond Miller headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_diamond_miller_headshot/headshot.png
connecticut_sun_diamond_miller_headshot,Diamond Miller headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_diamond_miller_headshot/cutout.png
connecticut_sun_download_on_the_apple_app_store,Download on the Apple App Store,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_download_on_the_apple_app_store/headshot.png
connecticut_sun_download_on_the_apple_app_store,Download on the Apple App Store,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_download_on_the_apple_app_store/cutout.png
connecticut_sun_get_it_on_google_play,Get it on Google Play,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_get_it_on_google_play/headshot.png
connecticut_sun_get_it_on_google_play,Get it on Google Play,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_get_it_on_google_play/cutout.png
connecticut_sun_gianna_kneepkens_headshot,Gianna Kneepkens headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_gianna_kneepkens_headshot/headshot.png
connecticut_sun_gianna_kneepkens_headshot,Gianna Kneepkens headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_gianna_kneepkens_headshot/cutout.png
connecticut_sun_hailey_van_lith_headshot,Hailey Van Lith headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_hailey_van_lith_headshot/headshot.png
connecticut_sun_hailey_van_lith_headshot,Hailey Van Lith headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_hailey_van_lith_headshot/cutout.png
connecticut_sun_kennedy_burke_headshot,Kennedy Burke headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_kennedy_burke_headshot/headshot.png
connecticut_sun_kennedy_burke_headshot,Kennedy Burke headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_kennedy_burke_headshot/cutout.png
connecticut_sun_leila_lacan_headshot,Leila Lacan headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_leila_lacan_headshot/headshot.png
connecticut_sun_leila_lacan_headshot,Leila Lacan headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_leila_lacan_headshot/cutout.png
connecticut_sun_nell_angloma_headshot,Nell Angloma headshot,connecticut_sun,headshot,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_nell_angloma_headshot/headshot.png
connecticut_sun_nell_angloma_headshot,Nell Angloma headshot,connecticut_sun,cutout,approved athlete image missing,assets/leagues/wnba/athletes/connecticut_sun_nell_angloma_headshot/cutout.png
