asset_id,asset_type,entity_type,sport,league,entity_name,source_url,page_url,source_domain,discovered_via,candidate_score,approval_status,approved_asset_id,rights_status,rights_notes,download_path,checksum_sha256,width_px,height_px
ast_2bfc766277e6da,logo,team,soccer,International Soccer,Japan W,https://flagcdn.com/w320/jp.png,https://flagcdn.com/w320/jp.png,flagcdn.com,curated_country_flag_map,95,approved,appr_2bfc766277e6da,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_2bfc766277e6da.png,d70de87c9b178bf7a4ce09478eb8375df20bafa16d50e34b837f471f2daff8e6,,
ast_67a033c94405f7,logo,team,soccer,International Soccer,Korea Republic U20 W,https://flagcdn.com/w320/kr.png,https://flagcdn.com/w320/kr.png,flagcdn.com,curated_country_flag_map,95,approved,appr_67a033c94405f7,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_67a033c94405f7.png,64b71f98601acaa3537ff862a443d9741e68cf143849f2adbae413777a685a07,,
ast_9c7fc211069805,logo,team,basketball,WNBA,Las Vegas Aces,https://upload.wikimedia.org/wikipedia/commons/f/fb/Las_Vegas_Aces_logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/fb/Las_Vegas_Aces_logo.svg,upload.wikimedia.org,curated_exact_logo_map,95,approved,appr_9c7fc211069805,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_9c7fc211069805.svg,496f2adae395ef98f49182dfc323f157b9a6217c559586f0ae354f823612b1ad,,
ast_7eea0085424fe3,logo,team,basketball,WNBA,Los Angeles Sparks,https://upload.wikimedia.org/wikipedia/en/9/98/Los_Angeles_Sparks_logo.svg,https://upload.wikimedia.org/wikipedia/en/9/98/Los_Angeles_Sparks_logo.svg,upload.wikimedia.org,curated_exact_logo_map,95,approved,appr_7eea0085424fe3,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,,,,
ast_34556a69591b47,logo,team,soccer,International Soccer,Mexico W,https://flagcdn.com/w320/mx.png,https://flagcdn.com/w320/mx.png,flagcdn.com,curated_country_flag_map,95,approved,appr_34556a69591b47,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_34556a69591b47.png,7861fd85478121bc9fbffd71e7493ac48b598dfdcdd27cbe5cf05d6e69d6c6f4,,
ast_047086213c7096,logo,team,basketball,WNBA,Minnesota Lynx,https://upload.wikimedia.org/wikipedia/en/7/70/Minnesota_Lynx_logo.svg,https://upload.wikimedia.org/wikipedia/en/7/70/Minnesota_Lynx_logo.svg,upload.wikimedia.org,curated_exact_logo_map,95,approved,appr_047086213c7096,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,,,,
ast_9edeb1cdaa6f4c,logo,team,basketball,WNBA,Phoenix Mercury,https://cdn.wnba.com/logos/wnba/1611661330/primary/L/logo.svg,https://cdn.wnba.com/logos/wnba/1611661330/primary/L/logo.svg,cdn.wnba.com,curated_exact_logo_map,95,approved,appr_9edeb1cdaa6f4c,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_9edeb1cdaa6f4c.svg,a76ce6ab16ebc69cf0cc3c40915e7d9d5dbaea8cc57a61e21699761404b7b0e8,,
ast_01d68c2809f81f,logo,team,basketball,WNBA,Portland Fire,https://upload.wikimedia.org/wikipedia/en/0/09/Portland_Fire_logo.svg,https://upload.wikimedia.org/wikipedia/en/0/09/Portland_Fire_logo.svg,upload.wikimedia.org,curated_exact_logo_map,95,approved,appr_01d68c2809f81f,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,,,,
ast_52d46724c00ec9,logo,team,basketball,WNBA,Seattle Storm,https://cdn.wnba.com/logos/wnba/1611661328/primary/D/logo.svg,https://cdn.wnba.com/logos/wnba/1611661328/primary/D/logo.svg,cdn.wnba.com,curated_exact_logo_map,95,approved,appr_52d46724c00ec9,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_52d46724c00ec9.svg,5d5a7be49b05730b5eb212c382b1942d21ea2ffbf6dcf126ad21444496d80816,,
ast_9426bf971998ee,logo,team,volleyball,International Volleyball,Serbia W,https://flagcdn.com/w320/rs.png,https://flagcdn.com/w320/rs.png,flagcdn.com,curated_country_flag_map,95,approved,appr_9426bf971998ee,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_9426bf971998ee.png,ea302324f2b3f389eae1c8ac389c5602b0bed41cf9122b9e2c2a46f97f6c6859,,
ast_2d1d5b6b4b59b0,logo,team,soccer,International Soccer,South Africa W,https://flagcdn.com/w320/za.png,https://flagcdn.com/w320/za.png,flagcdn.com,curated_country_flag_map,95,approved,appr_2d1d5b6b4b59b0,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_2d1d5b6b4b59b0.png,8b58481ccfbd2de3af3d096b2ec8e2c9ed407b9b6ce81ff64c24f37b6fbdac4b,,
ast_526f2acaa1d24e,logo,team,volleyball,International Volleyball,Thailand W,https://flagcdn.com/w320/th.png,https://flagcdn.com/w320/th.png,flagcdn.com,curated_country_flag_map,95,approved,appr_526f2acaa1d24e,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_526f2acaa1d24e.png,3f8d89e49397e7feabda4ad18d090c90a66caf9c2f9fd5851c149170d46f36ca,,
ast_dd35c3cb61c372,logo,team,volleyball,International Volleyball,Turkey W,https://flagcdn.com/w320/tr.png,https://flagcdn.com/w320/tr.png,flagcdn.com,curated_country_flag_map,95,approved,appr_dd35c3cb61c372,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_dd35c3cb61c372.png,e50ad4feb4f7d0f03348415bec20ccf61049d3d08968ae175d1c7cb5d98f3a3a,,
ast_49824984287991,logo,team,volleyball,International Volleyball,USA W,https://flagcdn.com/w320/us.png,https://flagcdn.com/w320/us.png,flagcdn.com,curated_country_flag_map,95,approved,appr_49824984287991,auto_approved_by_hsd_aggressive_policy,Curated exact-match asset.,data/assets/approved/appr_49824984287991.png,dcd9384ffc761b248e03e7f148e7aea8f662570b6f6db02e27a643c02adf72da,,
