athlete_id,athlete_name,team_id,league,provider_player_id,source_url,identity_confidence,asset_kind,local_asset_path,file_exists,approved_marker_path,approved_marker_exists,status,approval_status,identity_review_status,missing_asset_reason,source_evidence,crop_readiness_notes,render_template_uses,review_only_policy
atlanta_dream_rhyne_howard,Rhyne Howard,atlanta_dream,WNBA,,https://dream.wnba.com/roster,,cutout,assets/leagues/wnba/athletes/atlanta_dream_rhyne_howard/cutout.png,false,assets/leagues/wnba/athletes/atlanta_dream_rhyne_howard/cutout.png.approved,false,missing,missing_asset_not_renderable,missing_asset_review_required,cutout_not_onboarded,athlete_images_registry; source_note=missing_review_required,asset_file_missing; cutout_slot_requires_manual_crop_review,review_only_not_renderable_until_approved,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_rhyne_howard,Rhyne Howard,atlanta_dream,WNBA,1631009,https://cdn.wnba.com/headshots/wnba/latest/260x190/1631009.png,0.72,headshot,assets/leagues/wnba/athletes/atlanta_dream_rhyne_howard/headshot.png,true,assets/leagues/wnba/athletes/atlanta_dream_rhyne_howard/headshot.png.approved,true,approved,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_rhyne_howard__1631009.png; approved_at_utc=2026-06-16T04:22:55.094617+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_sika_kone,Sika Kone,atlanta_dream,WNBA,,https://dream.wnba.com/roster,,cutout,assets/leagues/wnba/athletes/atlanta_dream_sika_kone/cutout.png,false,assets/leagues/wnba/athletes/atlanta_dream_sika_kone/cutout.png.approved,false,missing,missing_asset_not_renderable,missing_asset_review_required,cutout_not_onboarded,athlete_images_registry; source_note=missing_review_required,asset_file_missing; cutout_slot_requires_manual_crop_review,review_only_not_renderable_until_approved,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_sika_kone,Sika Kone,atlanta_dream,WNBA,1631021,https://cdn.wnba.com/headshots/wnba/latest/260x190/1631021.png,0.72,headshot,assets/leagues/wnba/athletes/atlanta_dream_sika_kone/headshot.png,true,assets/leagues/wnba/athletes/atlanta_dream_sika_kone/headshot.png.approved,true,approved,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_sika_kone__1631021.png; approved_at_utc=2026-06-16T04:22:55.096142+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_te_hina_paopao,Te-Hina Paopao,atlanta_dream,WNBA,,https://dream.wnba.com/roster,,cutout,assets/leagues/wnba/athletes/atlanta_dream_te_hina_paopao/cutout.png,false,assets/leagues/wnba/athletes/atlanta_dream_te_hina_paopao/cutout.png.approved,false,missing,missing_asset_not_renderable,missing_asset_review_required,cutout_not_onboarded,athlete_images_registry; source_note=missing_review_required,asset_file_missing; cutout_slot_requires_manual_crop_review,review_only_not_renderable_until_approved,catalog_only_no_auto_approval_no_file_movement
atlanta_dream_te_hina_paopao,Te-Hina Paopao,atlanta_dream,WNBA,1642804,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642804.png,0.72,headshot,assets/leagues/wnba/athletes/atlanta_dream_te_hina_paopao/headshot.png,true,assets/leagues/wnba/athletes/atlanta_dream_te_hina_paopao/headshot.png.approved,true,approved,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_te_hina_paopao__1642804.png; approved_at_utc=2026-06-16T04:22:55.093696+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,catalog_only_no_auto_approval_no_file_movement
chicago_sky_aicha_coulibaly,Aicha Coulibaly,chicago_sky,WNBA,,https://sky.wnba.com/roster,,cutout,assets/leagues/wnba/athletes/chicago_sky_aicha_coulibaly/cutout.png,false,assets/leagues/wnba/athletes/chicago_sky_aicha_coulibaly/cutout.png.approved,false,missing,missing_asset_not_renderable,missing_asset_review_required,cutout_not_onboarded,athlete_images_registry; source_note=missing_review_required,asset_file_missing; cutout_slot_requires_manual_crop_review,review_only_not_renderable_until_approved,catalog_only_no_auto_approval_no_file_movement
chicago_sky_aicha_coulibaly,Aicha Coulibaly,chicago_sky,WNBA,1642786,https://cdn.wnba.com/headshots/wnba/latest/260x190/1642786.png,0.72,headshot,assets/leagues/wnba/athletes/chicago_sky_aicha_coulibaly/headshot.png,true,assets/leagues/wnba/athletes/chicago_sky_aicha_coulibaly/headshot.png.approved,true,approved,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_aicha_coulibaly__1642786.png; approved_at_utc=2026-06-16T04:22:55.101037+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,catalog_only_no_auto_approval_no_file_movement
chicago_sky_azura_stevens,Azura Stevens,chicago_sky,WNBA,,https://sky.wnba.com/roster,,cutout,assets/leagues/wnba/athletes/chicago_sky_azura_stevens/cutout.png,false,assets/leagues/wnba/athletes/chicago_sky_azura_stevens/cutout.png.approved,false,missing,missing_asset_not_renderable,missing_asset_review_required,cutout_not_onboarded,athlete_images_registry; source_note=missing_review_required,asset_file_missing; cutout_slot_requires_manual_crop_review,review_only_not_renderable_until_approved,catalog_only_no_auto_approval_no_file_movement
chicago_sky_azura_stevens,Azura Stevens,chicago_sky,WNBA,1628922,https://cdn.wnba.com/headshots/wnba/latest/260x190/1628922.png,0.72,headshot,assets/leagues/wnba/athletes/chicago_sky_azura_stevens/headshot.png,true,assets/leagues/wnba/athletes/chicago_sky_azura_stevens/headshot.png.approved,true,approved,approved_marker_present_manual_source_recheck_required,manual_source_recheck_required,,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_azura_stevens__1628922.png; approved_at_utc=2026-06-16T04:22:55.100768+00:00,approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,catalog_only_no_auto_approval_no_file_movement
