name_variant,entity_id,type
Park,los_angeles_sparks_jihyun_park,auto_alias
jihyun park,los_angeles_sparks_jihyun_park,auto_alias
J. Park,los_angeles_sparks_jihyun_park,auto_alias
kate martin,los_angeles_sparks_kate_martin,auto_alias
K. Martin,los_angeles_sparks_kate_martin,auto_alias
Martin,los_angeles_sparks_kate_martin,auto_alias
Kelsey Plum,los_angeles_sparks_kelsey_plum,canonical
K. Plum,los_angeles_sparks_kelsey_plum,auto_alias
Plum,los_angeles_sparks_kelsey_plum,auto_alias
laura ziegler,los_angeles_sparks_laura_ziegler,auto_alias
L. Ziegler,los_angeles_sparks_laura_ziegler,auto_alias
Ziegler,los_angeles_sparks_laura_ziegler,auto_alias
Ogwumike,los_angeles_sparks_nneka_ogwumike,auto_alias
Nneka Ogwumike,los_angeles_sparks_nneka_ogwumike,canonical
N. Ogwumike,los_angeles_sparks_nneka_ogwumike,auto_alias
Rae Burrell,los_angeles_sparks_rae_burrell,canonical
R. Burrell,los_angeles_sparks_rae_burrell,auto_alias
Burrell,los_angeles_sparks_rae_burrell,auto_alias
Sania Feagin,los_angeles_sparks_sania_feagin,canonical
Feagin,los_angeles_sparks_sania_feagin,auto_alias
S. Feagin,los_angeles_sparks_sania_feagin,auto_alias
Ta Niya Latson,los_angeles_sparks_ta_niya_latson,auto_alias
ta'niya latson,los_angeles_sparks_ta_niya_latson,auto_alias
Latson,los_angeles_sparks_ta_niya_latson,auto_alias
T. Latson,los_angeles_sparks_ta_niya_latson,auto_alias
anastasiia olairi kosu,minnesota_lynx_anastasiia_olairi_kosu,auto_alias
Kosu,minnesota_lynx_anastasiia_olairi_kosu,auto_alias
A. Kosu,minnesota_lynx_anastasiia_olairi_kosu,auto_alias
Delaere,minnesota_lynx_antonia_delaere,auto_alias
antonia delaere,minnesota_lynx_antonia_delaere,auto_alias
A. Delaere,minnesota_lynx_antonia_delaere,auto_alias
Williams,minnesota_lynx_courtney_williams,auto_alias
C. Williams,minnesota_lynx_courtney_williams,auto_alias
