athlete_id,display_name,team_id,provider_player_id,approved_file,approved_marker,source_file,approved_at_utc,decision_source
chicago_sky_azura_stevens,Azura Stevens,chicago_sky,1628922,assets/leagues/wnba/athletes/chicago_sky_azura_stevens/headshot.png,assets/leagues/wnba/athletes/chicago_sky_azura_stevens/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_azura_stevens__1628922.png,2026-06-16T02:49:50.237927+00:00,default
chicago_sky_aicha_coulibaly,Aicha Coulibaly,chicago_sky,1642786,assets/leagues/wnba/athletes/chicago_sky_aicha_coulibaly/headshot.png,assets/leagues/wnba/athletes/chicago_sky_aicha_coulibaly/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/chicago_sky/chicago_sky_aicha_coulibaly__1642786.png,2026-06-16T02:49:50.238246+00:00,default
connecticut_sun_diamond_miller,Diamond Miller,connecticut_sun,1641649,assets/leagues/wnba/athletes/connecticut_sun_diamond_miller/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_diamond_miller/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_diamond_miller__1641649.png,2026-06-16T02:49:50.238578+00:00,default
connecticut_sun_hailey_van_lith,Hailey Van Lith,connecticut_sun,1642817,assets/leagues/wnba/athletes/connecticut_sun_hailey_van_lith/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_hailey_van_lith/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_hailey_van_lith__1642817.png,2026-06-16T02:49:50.238918+00:00,default
connecticut_sun_ashlon_jackson,Ashlon Jackson,connecticut_sun,1643437,assets/leagues/wnba/athletes/connecticut_sun_ashlon_jackson/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_ashlon_jackson/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_ashlon_jackson__1643437.png,2026-06-16T02:49:50.239243+00:00,default
connecticut_sun_charlisse_leger_walker,Charlisse Leger-Walker,connecticut_sun,1643449,assets/leagues/wnba/athletes/connecticut_sun_charlisse_leger_walker/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_charlisse_leger_walker/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_charlisse_leger_walker__1643449.png,2026-06-16T02:49:50.239574+00:00,default
connecticut_sun_gianna_kneepkens,Gianna Kneepkens,connecticut_sun,1643429,assets/leagues/wnba/athletes/connecticut_sun_gianna_kneepkens/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_gianna_kneepkens/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_gianna_kneepkens__1643429.png,2026-06-16T02:49:50.239921+00:00,default
connecticut_sun_aaliyah_edwards,Aaliyah Edwards,connecticut_sun,1642290,assets/leagues/wnba/athletes/connecticut_sun_aaliyah_edwards/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_aaliyah_edwards/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_aaliyah_edwards__1642290.png,2026-06-16T02:49:50.240259+00:00,default
connecticut_sun_olivia_nelson_ododa,Olivia Nelson-Ododa,connecticut_sun,1631135,assets/leagues/wnba/athletes/connecticut_sun_olivia_nelson_ododa/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_olivia_nelson_ododa/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_olivia_nelson_ododa__1631135.png,2026-06-16T02:49:50.240587+00:00,default
connecticut_sun_raegan_beers,Raegan Beers,connecticut_sun,1643441,assets/leagues/wnba/athletes/connecticut_sun_raegan_beers/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_raegan_beers/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_raegan_beers__1643441.png,2026-06-16T02:49:50.240929+00:00,default
connecticut_sun_saniya_rivers,Saniya Rivers,connecticut_sun,1642809,assets/leagues/wnba/athletes/connecticut_sun_saniya_rivers/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_saniya_rivers/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_saniya_rivers__1642809.png,2026-06-16T02:49:50.241257+00:00,default
connecticut_sun_aneesah_morrow,Aneesah Morrow,connecticut_sun,1642800,assets/leagues/wnba/athletes/connecticut_sun_aneesah_morrow/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_aneesah_morrow/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_aneesah_morrow__1642800.png,2026-06-16T02:49:50.241652+00:00,default
connecticut_sun_kennedy_burke,Kennedy Burke,connecticut_sun,1629568,assets/leagues/wnba/athletes/connecticut_sun_kennedy_burke/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_kennedy_burke/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_kennedy_burke__1629568.png,2026-06-16T02:49:50.241993+00:00,default
connecticut_sun_nell_angloma,Nell Angloma,connecticut_sun,1643448,assets/leagues/wnba/athletes/connecticut_sun_nell_angloma/headshot.png,assets/leagues/wnba/athletes/connecticut_sun_nell_angloma/headshot.png.approved,outputs/latest/review_files/athlete_image_approval_pack/downloads/connecticut_sun/connecticut_sun_nell_angloma__1643448.png,2026-06-16T02:49:50.242326+00:00,default
